epoch,accuracy,learning_rate,loss,top3_acc,val_accuracy,val_loss,val_top3_acc
0,0.9510030746459961,9.999999747378752e-06,0.14148260653018951,0.9994212985038757,0.9498456716537476,0.12874597311019897,0.9992284178733826
1,0.9681712985038757,9.999999747378752e-06,0.09228025376796722,0.9994212985038757,0.9699074029922485,0.07973159104585648,0.9992284178733826
2,0.9745370149612427,9.999999747378752e-06,0.07701802253723145,0.9992284178733826,0.970678985118866,0.07587876170873642,0.9992284178733826
3,0.9782021641731262,9.999999747378752e-06,0.07009228318929672,0.9996141791343689,0.9729938507080078,0.06569414585828781,0.9992284178733826
4,0.9791666865348816,9.999999747378752e-06,0.05937829613685608,0.9998071193695068,0.9814814925193787,0.05568991228938103,0.9992284178733826
5,0.9807098507881165,9.999999747378752e-06,0.053422726690769196,1.0,0.9760802388191223,0.056116193532943726,0.9992284178733826
6,0.9814814925193787,9.999999747378752e-06,0.05023406445980072,1.0,0.9814814925193787,0.04972795769572258,0.9992284178733826
7,0.9832175970077515,9.999999747378752e-06,0.04569323733448982,1.0,0.9822530746459961,0.04674964025616646,0.9992284178733826
8,0.9886188507080078,9.999999747378752e-06,0.033555012196302414,1.0,0.9845678806304932,0.04175608977675438,0.9992284178733826
9,0.9870756268501282,9.999999747378752e-06,0.03872264176607132,1.0,0.9830247163772583,0.0447625108063221,0.9992284178733826
